name,category,type,explicit,count
broken,context,Other,false,8258
falling_leaves,context,Nature,false,8188
river,context,Nature,false,8071
skyscraper,context,Other,false,8066
blue_fire,context,Effect,false,8037
train_interior,context,Indoor,false,8006
castle,context,Other,false,7860
on_grass,context,Nature,false,7818
hatching_(texture),context,Effect,false,7646
waves,context,Nature,false,7610
autumn,context,Other,false,7469
blood_on_weapon,context,Effect,false,7347
twilight,context,Sky,false,7305
unmoving_pattern,context,Color,false,7223
energy,context,Effect,false,7197
lightning_bolt_symbol,context,Other,false,7140
kitchen,context,Indoor,false,7089
lightning,context,Nature,false,7088
damaged,context,Other,false,7084
on_desk,context,Indoor,false,7056
slime_(substance),context,Effect,false,6863
gradient_sky,context,Sky,false,6844
against_glass,context,Other,false,6818
muted_color,context,Color,false,6716
greyscale_with_colored_background,context,Color,false,6706
scene_reference,context,Other,false,6635
sidelighting,context,Effect,false,6514
school,context,Other,false,6488
star_symbol_background,context,Color,false,6444
heart_background,context,Color,false,6433
stage,context,Other,false,6373
landscape,context,Nature,false,6226
doorway,context,Indoor,false,6140
yellow_theme,context,Color,false,6114
abstract_background,context,Color,false,6070
shop,context,Other,false,6065
waterfall,context,Nature,false,6056
orange_sky,context,Sky,false,6055
grid_background,context,Color,false,6024
shooting_star,context,Sky,false,5990
beige_background,context,Color,false,5931
halftone_background,context,Effect,false,5922
pentagram,context,Other,false,5920
flashing,context,Effect,false,5920
colorful,context,Color,false,5909
circle,context,Other,false,5883
argyle_background,context,Color,false,5786
pillarboxed,context,Other,false,5783
shore,context,Nature,false,5763
lake,context,Nature,false,5736
tomoe_(symbol),context,Other,false,5727
triangle,context,Other,false,5698
spotlight,context,Effect,false,5682
text_background,context,Other,false,5544
diagonal_stripes,context,Color,false,5513
library,context,Indoor,false,5512
fog,context,Nature,false,5458
earth_(planet),context,Sky,false,5437
paint_splatter,context,Effect,false,5400
constellation,context,Sky,false,5286
ceiling,context,Indoor,false,5162
shrine,context,Other,false,5135
grey_sky,context,Sky,false,5122
rooftop,context,Other,false,4992
red_moon,context,Sky,false,4977
flight_deck,context,Other,false,4972
bar_(place),context,Indoor,false,4930
on_bench,context,Other,false,4903
floor,context,Other,false,4874
checkered,context,Color,false,4873
spider_web_print,context,Color,false,4816
contrail,context,Sky,false,4767
sparkle_background,context,Color,false,4725
city_lights,context,Other,false,4678
diffraction_spikes,context,Effect,false,4651
embers,context,Effect,false,4640
spade_(shape),context,Other,false,4625
stage_lights,context,Effect,false,4577
reflective_water,context,Nature,false,4538
hallway,context,Indoor,false,4515
stained_glass,context,Indoor,false,4430
head_on_pillow,context,Indoor,false,4427
in_box,context,Other,false,4422
gradient,context,Color,false,4399
treble_clef,context,Other,false,4323
dusk,context,Sky,false,4291
aerial_fireworks,context,Sky,false,4275
flower_symbol,context,Other,false,4178
on_table,context,Indoor,false,4142
bloom,context,Effect,false,4068
in_tree,context,Nature,false,4054
ceiling_light,context,Indoor,false,4046
path,context,Other,false,4042
plum_blossoms,context,Nature,false,4000
japari_symbol,context,Other,false,3990
locker_room,context,Indoor,false,3989
light_trail,context,Effect,false,3945
patterned_background,context,Color,false,3936
orange_theme,context,Color,false,3936
purple_sky,context,Sky,false,3933
star_halo,context,Effect,false,3914
graffiti,context,Other,false,3911
restaurant,context,Indoor,false,3906
hill,context,Nature,false,3904
snowflake_print,context,Color,false,3894
cellphone_photo,context,Other,false,3884
brown_theme,context,Color,false,3878
darkness,context,Effect,false,3863
car_interior,context,Indoor,false,3854
wedding,context,Other,false,3849
cold,context,Other,false,3825
bamboo_forest,context,Nature,false,3816
skull_and_crossbones,context,Other,false,3811
moss,context,Nature,false,3804
sunburst,context,Effect,false,3803
starry_background,context,Color,false,3796
desert,context,Nature,false,3787
white_theme,context,Color,false,3780
moonlight,context,Sky,false,3698
melting,context,Effect,false,3661
sunrise,context,Sky,false,3653
cat_print,context,Color,false,3597
grey_border,context,Other,false,3575
cliff,context,Nature,false,3564
reflective_floor,context,Indoor,false,3509
starry_sky_print,context,Color,false,3462
town,context,Other,false,3405
balcony,context,Other,false,3392
red_sky,context,Sky,false,3345
church,context,Other,false,3344
high_contrast,context,Effect,false,3314
sun_symbol,context,Other,false,3281
butterfly_print,context,Color,false,3278
different_reflection,context,Effect,false,3274
tree_shade,context,Nature,false,3257
hexagram,context,Other,false,3220
cumulonimbus_cloud,context,Sky,false,3201
dust,context,Effect,false,3193
caterpillar_tracks,context,Other,false,3184
alley,context,Other,false,3179
